address,best,bin,building_id,building_name,distance_m,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,second,x_m,y_m
1484 1st Avenue,0.613,1046005,24592,Wright Center On Aging,30.3,Turtle Bay / Sutton,401.5,9,tag,0,40.7711542,block,-73.9531639,0.0,yes,266900758,,way,10075,9.8,0.59,1250.6,-978.11
,0.58,1072688,24645,,14.6,Turtle Bay / Sutton,62.4,4,tag,0,40.7708255,block,-73.9523252,0.0,yes,266900823,,way,,6.7,0.533,1321.29,-1014.46
1480 2nd Avenue,0.603,1045199,24658,,15.3,Turtle Bay / Sutton,79.8,6,tag,0,40.7719764,district,-73.9556106,0.0,yes,266901296,,way,10075,49.2,0.572,1044.35,-887.2
1486 2nd Avenue,0.871,1045200,24663,,2.2,Upper East Side,119.7,5,tag,0,40.7721686,block,-73.9555843,0.0,yes,266901301,,way,10075,15.0,0.835,1046.57,-865.95
1490 2nd Avenue,0.887,1045229,24665,,5.7,Upper East Side,107.1,5,tag,0,40.7722758,block,-73.9555225,0.0,yes,266901304,,way,10075,14.7,0.852,1051.78,-854.09
301 East 77th Street,0.622,1045199,24668,,15.2,Upper East Side,85.6,4,tag,0,40.7720261,district,-73.955733,0.0,yes,266901308,,way,10075,55.8,0.617,1034.03,-881.7
502 East 81st Street,0.376,1078713,24766,,39.2,Upper East Side,101.4,5,tag,0,40.7724026,block,-73.9491346,0.0,retail,266902380,,way,10028,21.3,0.375,1590.24,-840.08
1525 York Avenue,0.989,1050384,24782,,0.9,Upper East Side,109.3,5,tag,0,40.7726056,block,-73.9498976,0.0,apartments,266903181,4,way,10075,10.3,0.938,1525.92,-817.63
520 East 82nd Street,0.989,1051155,24821,,0.9,Upper East Side,106.2,4,tag,0,40.7727138,block,-73.9480197,0.0,apartments,266903366,,way,10028,15.1,0.933,1684.23,-805.67
540 East 83rd Street,0.405,1089903,24884,,13.9,Upper East Side,37.9,4,tag,0,40.773063,block,-73.9467077,0.0,yes,266903659,,way,10028,5.2,0.378,1794.81,-767.05
