address,bbl,bbl_source,bin,building_id,building_name,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,match_area_ratio,match_confidence,match_distance_m,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,x_m,y_m
,,,,3751,,Brooklyn,24.0,4,zone_model,0,40.6873173,block,-74.0206131,,none,,0.0,yes,1388526377,,way,,29.21,-4434.97,-10248.29
,,,,3763,,Brooklyn,17.6,4,zone_model,0,40.689573,block,-74.0213385,,none,,0.0,yes,1389283164,,way,,9.4,-4496.12,-9998.87
,,,,3764,,Jersey,34.7,5,zone_model,0,40.689791,block,-74.0217919,,none,,0.0,yes,1389285176,,way,,44.19,-4534.33,-9974.78
,,,,3765,,Jersey,34.7,5,zone_model,0,40.6897538,block,-74.0219177,,none,,0.0,yes,1389285179,,way,,17.58,-4544.95,-9978.89
,,,,3766,,Jersey,34.7,5,zone_model,0,40.6898537,block,-74.0221432,,none,,0.0,yes,1389285182,,way,,11.88,-4563.95,-9967.84
,,,,3767,,Jersey,34.7,5,zone_model,0,40.6899418,block,-74.0220164,,none,,0.0,yes,1389285185,,way,,12.48,-4553.26,-9958.1
,,,,3768,,Jersey,34.7,5,zone_model,0,40.690025,district,-74.0219465,,none,,0.0,yes,1389285188,,way,,47.98,-4547.37,-9948.9
,,,,3769,,Jersey,34.7,5,zone_model,0,40.6901202,block,-74.0218467,,none,,0.0,yes,1389285191,,way,,15.83,-4538.96,-9938.37
,,,,3770,,Jersey,34.7,5,zone_model,0,40.6900134,block,-74.0217564,,none,,0.0,yes,1389285194,,way,,13.35,-4531.35,-9950.17
,,,,3771,,Jersey,34.7,5,zone_model,0,40.6902186,district,-74.0217149,,none,,0.0,yes,1389285197,,way,,45.06,-4527.85,-9927.48
,,,,3772,,Jersey,34.7,5,zone_model,0,40.6904637,block,-74.0215324,,none,,0.0,yes,1389285200,,way,,15.79,-4512.46,-9900.39
,,,,3773,,Jersey,34.6,5,zone_model,0,40.6903414,district,-74.0216698,,none,,0.0,yes,1389285203,,way,,50.74,-4524.05,-9913.91
,,,,3774,,Brooklyn,34.7,5,zone_model,0,40.6902651,block,-74.0214628,,none,,0.0,yes,1389285206,,way,,17.28,-4506.6,-9922.34
,,,,3775,,Brooklyn,34.7,5,zone_model,0,40.6901091,block,-74.021424,,none,,0.0,yes,1389285209,,way,,16.63,-4503.32,-9939.6
,,,,3776,,Jersey,28.8,5,zone_model,0,40.6895729,district,-74.0215469,,none,,0.0,yes,1389285213,,way,,54.01,-4513.68,-9998.89
,,,,3777,,Jersey,82.8,4,zone_model,0,40.6895776,district,-74.0216659,,none,,0.0,yes,1389285214,,way,,52.33,-4523.72,-9998.37
,,,,3778,,Brooklyn,18.9,4,zone_model,0,40.6894466,block,-74.0214701,,none,,0.0,static_caravan,1389285215,,way,,33.39,-4507.21,-10012.85
,,,,3779,,Jersey,29.4,5,zone_model,0,40.6894317,block,-74.0215152,,none,,0.0,static_caravan,1389285216,,way,,16.79,-4511.02,-10014.5
,,,,3780,,Jersey,19.6,4,zone_model,0,40.6893866,block,-74.0215701,,none,,0.0,static_caravan,1389285217,,way,,16.0,-4515.64,-10019.49
,,,,3781,,Jersey,16.3,5,zone_model,0,40.6892385,district,-74.0216019,,none,,0.0,yes,1389285220,,way,,47.35,-4518.33,-10035.86
,,,,3782,,Jersey,30.3,5,zone_model,0,40.6891919,block,-74.0217369,,none,,0.0,yes,1389285221,,way,,11.42,-4529.71,-10041.01
,,,,3783,,Jersey,38.4,4,zone_model,0,40.689181,block,-74.0219587,,none,,0.0,yes,1389285222,,way,,12.48,-4548.39,-10042.21
,,,,3784,,Brooklyn,47.7,4,zone_model,0,40.6893181,block,-74.0212776,,none,,0.0,yes,1389285236,,way,,13.28,-4490.99,-10027.06
,,,,3785,,Brooklyn,44.9,5,zone_model,0,40.6891558,block,-74.0213579,,none,,0.0,yes,1389285237,,way,,24.02,-4497.75,-10045.01
,,,,3786,,Jersey,58.2,11,zone_model,0,40.6888868,block,-74.0230413,,none,,0.0,yes,1389292088,,way,,27.52,-4639.66,-10074.75
,,,,3787,,Jersey,67.0,5,zone_model,0,40.6886092,block,-74.0229112,,none,,0.0,yes,1389292092,,way,,18.68,-4628.68,-10105.45
,,,,3788,,Jersey,104.0,5,zone_model,0,40.6886693,block,-74.0233546,,none,,0.0,yes,1389292098,,way,,17.45,-4666.07,-10098.8
,,,,3789,,Jersey,27.2,4,zone_model,0,40.6883327,district,-74.0236892,,none,,0.0,yes,1389292100,,way,,64.87,-4694.27,-10136.02
,,,,3790,,Jersey,22.1,4,zone_model,0,40.6883574,block,-74.0232722,,none,,0.0,yes,1389292104,,way,,40.67,-4659.12,-10133.29
,,,,3791,,Jersey,49.4,4,zone_model,0,40.688736,block,-74.0227092,,none,,0.0,yes,1389292116,,way,,13.6,-4611.66,-10091.43
,,,,3792,,Jersey,49.5,4,zone_model,0,40.6882311,block,-74.0237925,,none,,0.0,yes,1389292121,,way,,18.14,-4702.97,-10147.25
,,,,3793,,Jersey,49.2,4,zone_model,0,40.6884606,block,-74.023579,,none,,0.0,yes,1389292126,,way,,36.8,-4684.98,-10121.88
,,,,3794,,Jersey,49.4,4,zone_model,0,40.68845,block,-74.023177,,none,,0.0,yes,1389292131,,way,,16.35,-4651.09,-10123.06
,,,,3795,,Jersey,49.2,4,zone_model,0,40.6887223,block,-74.0231143,,none,,0.0,yes,1389292136,,way,,14.75,-4645.81,-10092.94
,,,,3796,,Jersey,49.2,5,zone_model,0,40.6890221,district,-74.0229753,,none,,0.0,yes,1389292141,,way,,45.06,-4634.09,-10059.79
,,,,3797,,Jersey,49.4,4,zone_model,0,40.6892131,block,-74.0227078,,none,,0.0,yes,1389292146,,way,,24.13,-4611.55,-10038.67
,,,,3798,,Jersey,49.3,4,zone_model,0,40.6889359,block,-74.0225606,,none,,0.0,yes,1389292166,,way,,14.01,-4599.13,-10069.33
,,,,3799,,Jersey,22.4,5,zone_model,0,40.6888211,block,-74.0224176,,none,,0.0,yes,1389292176,,way,,28.98,-4587.08,-10082.01
,,,,3800,,Jersey,63.5,9,zone_model,0,40.6888849,block,-74.0222601,,none,,0.0,yes,1389292177,,way,,19.95,-4573.81,-10074.96
,,,,3801,,Jersey,71.3,8,zone_model,0,40.6889089,block,-74.0219503,,none,,0.0,yes,1389292187,,way,,29.24,-4547.69,-10072.31
,,,,3802,,Jersey,22.4,5,zone_model,0,40.6888789,block,-74.0221069,,none,,0.0,yes,1389292188,,way,,10.28,-4560.89,-10075.62
,,,,3803,,Jersey,170.4,5,zone_model,0,40.6893469,block,-74.0217484,,none,,0.0,yes,1389297604,,way,,21.97,-4530.67,-10023.87
,,,,3806,,Brooklyn,20.5,4,zone_model,0,40.6900644,block,-74.020868,,none,,0.0,yes,1389305552,,way,,9.91,-4456.46,-9944.54
,,,,3807,Threes Brewing,Brooklyn,39.0,8,zone_model,0,40.690469,block,-74.0196647,,none,,0.0,yes,1389435544,,way,,17.95,-4355.02,-9899.8
,,,,3810,,Brooklyn,137.4,5,zone_model,0,40.6912949,block,-74.0193033,,none,,0.0,yes,1389556296,,way,,25.94,-4324.57,-9808.48
,,,,3820,,Brooklyn,36.9,4,zone_model,0,40.6917187,district,-74.0186644,,none,,0.0,yes,1390945044,,way,,63.27,-4270.71,-9761.62
,,,,3822,,Brooklyn,36.9,4,zone_model,0,40.69162,block,-74.0186981,,none,,0.0,yes,1390945046,,way,,31.55,-4273.55,-9772.52
,,,,3825,,Brooklyn,16.2,4,zone_model,0,40.6900476,block,-74.0192538,,none,,0.0,yes,1390965217,,way,,9.1,-4320.39,-9946.4
,,,,3826,,Brooklyn,31.7,6,zone_model,0,40.6902479,block,-74.0194252,,none,,0.0,yes,1390965218,,way,,39.05,-4334.84,-9924.25
